INFO 2024-09-12 11:53:44,476 autoreload Watching for file changes with StatReloader
DEBUG 2024-09-12 11:53:44,684 autoreload File /usr/lib/python3.12/wsgiref/simple_server.py first seen with mtime 1722447828.0
DEBUG 2024-09-12 11:53:44,685 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/db/models/query.py first seen with mtime 1723101104.9672267
DEBUG 2024-09-12 11:53:44,685 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/cryptography/hazmat/bindings/_rust.abi3.so first seen with mtime 1725787213.9806423
DEBUG 2024-09-12 11:53:44,685 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/contrib/auth/backends.py first seen with mtime 1723101104.5152202
DEBUG 2024-09-12 11:53:44,685 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/utils/lorem_ipsum.py first seen with mtime 1723101105.0092273
DEBUG 2024-09-12 11:53:44,685 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/template/__init__.py first seen with mtime 1723101104.9942272
DEBUG 2024-09-12 11:53:44,685 autoreload File /usr/lib/python3.12/http/cookies.py first seen with mtime 1722447828.0
DEBUG 2024-09-12 11:53:44,685 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/contrib/staticfiles/finders.py first seen with mtime 1723101104.923226
DEBUG 2024-09-12 11:53:44,685 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/contrib/postgres/lookups.py first seen with mtime 1723101104.7522237
DEBUG 2024-09-12 11:53:44,685 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/db/models/fields/__init__.py first seen with mtime 1723101104.9682267
DEBUG 2024-09-12 11:53:44,685 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/contrib/auth/hashers.py first seen with mtime 1723101104.5172203
DEBUG 2024-09-12 11:53:44,685 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/db/migrations/operations/fields.py first seen with mtime 1723101104.9612267
DEBUG 2024-09-12 11:53:44,686 autoreload File /usr/lib/python3.12/email/contentmanager.py first seen with mtime 1722447828.0
DEBUG 2024-09-12 11:53:44,686 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/utils/datastructures.py first seen with mtime 1723101105.0052273
DEBUG 2024-09-12 11:53:44,686 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/db/migrations/operations/special.py first seen with mtime 1723101104.9622266
DEBUG 2024-09-12 11:53:44,686 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/sqlparse/filters/reindent.py first seen with mtime 1723101104.146215
DEBUG 2024-09-12 11:53:44,686 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/forms/widgets.py first seen with mtime 1723101104.977227
DEBUG 2024-09-12 11:53:44,686 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/rest_framework/templatetags/__init__.py first seen with mtime 1723101202.2455845
DEBUG 2024-09-12 11:53:44,686 autoreload File /usr/lib/python3.12/urllib/error.py first seen with mtime 1722447828.0
DEBUG 2024-09-12 11:53:44,686 autoreload File /usr/lib/python3.12/re/__init__.py first seen with mtime 1722447828.0
DEBUG 2024-09-12 11:53:44,686 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/cryptography/hazmat/_oid.py first seen with mtime 1725787213.9276178
DEBUG 2024-09-12 11:53:44,686 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/contrib/messages/storage/__init__.py first seen with mtime 1723101104.7512236
